Annexure,,,,,,,,
                        Distrct to be merged on IMIS                                    ,,,,,,,,
S.No.,Name of merged District,LGD Code,Block,LGD code,Name of  District to be Retained,LGD Code,Block,LGD code
1,Dudu,839,Dudu,4153,Jaipur,,,
,,,Mauzamabad,10233,,,,
,,,Phagi,4154,,,,
2,Jaipur (Gramin),841,,,,,,
3,Jodhpur (Gramin),842,,,Jodhpur,,,
4,Sanchore,849,Bagoda,10220,Jalore,406,Bagoda,10220
,,,Bhinmal,4229,,,Bhinmal,10412
,,,Chitalwana,7186,,,,
,,,Raniwara,4227,,,,
,,,Sanchore,4228,,,,
,,,Sarnau,10221,,,,
5,Gangapurcity,840,Bamanwas,4143,Sawai Madhopur,396,,
,,,Gangapur City,4144,,,,
,,,Nadauti,4307,Karauli,417,,
,,,TODABHIM,4306,,,Todabhim,10413
6,Kekri,843,Arain,4174,Ajmer,399,Arain,10397
,,,Bhinay,4175,,,,
,,,Kekri,4176,,,,
,,,Sarwar,7554,,,,
,,,Sawar,10222,,,,
,,,Todaraisingh,4179,Tonk,400,Todaraisingh,10398
7,Neem Ka Thana,846,Neem Ka Thana,4164,Sikar,398,,
,,,Ajeetgarh,4164,,,,
,,,Patan,10240,,,,
,,,Sri Madhopur,7568,,,,
,,,Khetri,4113,Jhunjhunu,392,Khetri,10414
,,,Udaipurwati,4115,,,Udaipurwati,10415
8,Anupgarh,834,Anupgarh,4096,GANGANAGAR,389,,
,,,GHARSANA,7571,,,,
,,,Raisinghnagar,4094,,,Raisinghnagar,10401
,,,VIJAYNAGAR,7561,,,,
9,Shahpura,850,Banera,4240,Bhilwara,408,Banera,10406
,,,Bijoliya,10404,,,BIJOLIYA,7549
,,,Jahazpur,4239,,,,
,,,Kotri,4245,,,Kotri,10407
,,,Mandalgarh,10405,,,MANDALGARH,4246
,,,Shahpura,4238,,,,